panel,score,is_principal_integrated_score,reference_beta,reference_hc3_se,reference_p,reference_q_across_66,bootstrap_median_beta,bootstrap_95pct_low,bootstrap_95pct_high,direction_stability_probability,fdr_q_below_0_05_probability_across_66,bootstrap_interval_excludes_zero
CP28,CP28_CD3neg_CD56pos_NK_like_depletion_score,False,0.08013900541553284,0.06107780943269485,0.18985835431531384,0.1957914278876674,0.07823347438572308,-0.03770130782851052,0.193334632382649,0.898,0.25,False
CP28,CP28_integrated_TNK_interface_remodeling_score,True,0.2540608483930616,0.03519679516089046,1.1963528357024148e-12,4.155751955597862e-12,0.2532066676624257,0.18518241808118202,0.32094264977899517,1.0,1.0,True
CP7,CP7_CD8_differentiation_remodeling_score,False,0.2607158366305163,0.039586242516610415,8.044191933470483e-11,1.9663580281816737e-10,0.26042283611279593,0.17990742523761633,0.33360725584496403,1.0,1.0,True
CP7,CP7_CD39_enrichment_score,False,0.23719798465502012,0.05978625078000036,7.897671854897429e-05,0.00011846507782346145,0.23584639378011873,0.11302956178579034,0.3545675833485568,1.0,0.968,True
CP7,CP7_PD1_TIGIT_attenuation_score,False,0.21151982067632535,0.05636430302028522,0.0001871885444561207,0.0002628605092362546,0.21294933981834172,0.10382923195950378,0.32862319025819103,1.0,0.9645,True
CP7,CP7_checkpoint_coexpression_score,False,0.12921813906763635,0.06217327557351053,0.037985648091544436,0.041099225803966105,0.12622784439434676,0.0034431174757668347,0.25608359268681463,0.9785,0.529,True
CP7,CP7_terminal_checkpoint_remodeling_score,False,0.2602543451712971,0.0365998755110219,2.5039385861914e-12,7.869521270887258e-12,0.2593394514676042,0.18742848777344268,0.3290608900971035,1.0,1.0,True
CP7,CP7_integrated_checkpoint_remodeling_score,True,0.35030291848800715,0.04208306451837898,3.515630889302688e-16,1.6573688478141244e-15,0.3498520030220795,0.26586811394017146,0.4290504449609631,1.0,1.0,True
CP8,CP8_CD4_composition_depletion_score,False,0.635532123219594,0.06004816620635435,1.2433400229723535e-24,2.051511037904383e-23,0.6363620548325786,0.5186146741629346,0.7483389542360679,1.0,1.0,True
CP8,CP8_CD4_memory_differentiation_score,False,0.35572553363995635,0.05726054453113629,8.27334148391014e-10,1.8828984066829974e-09,0.35504998685023376,0.2408782016741547,0.46039393753393226,1.0,1.0,True
CP8,CP8_Treg_like_enrichment_score,False,0.40090271729200616,0.03990631367881507,1.7660918380567955e-22,2.33124122623497e-21,0.40035244879372095,0.3256323122272426,0.4802298943902608,1.0,1.0,True
