panel_1,panel_2,score_1,score_2,n_pair,spearman_rho,spearman_p,spearman_q,pearson_r,pearson_p,pearson_q,cancer_spearman_rho,healthy_spearman_rho,same_direction_both_strata
CP8,CP25,CP8_integrated_CD4_helper_regulatory_remodeling_score,CP25_integrated_CD4_regulatory_checkpoint_remodeling_score,832,0.4859563653286918,1.590406683643267e-50,3.578415038197351e-49,0.5492301759773653,9.787923062546204e-67,4.404565378145792e-65,0.5360438978901371,0.4254441084801291,True
CP8,CP26,CP8_integrated_CD4_helper_regulatory_remodeling_score,CP26_integrated_NK_remodeling_score,832,0.189492097866639,3.6387553752292704e-08,5.6463445477695586e-08,0.2054693357301212,2.2086642208029623e-09,3.822688074466665e-09,0.2311671496868289,0.1224469538084544,True
CP8,CP28,CP8_integrated_CD4_helper_regulatory_remodeling_score,CP28_integrated_TNK_interface_remodeling_score,832,0.3497350759242881,2.4015447043479747e-25,1.8011585282609813e-24,0.3665244995668814,7.481231933385082e-28,4.809363385747553e-27,0.3905193974462624,0.2968644285802794,True
CP10,CP16,CP10_integrated_myeloid_granulocytic_remodeling_score,CP16_integrated_APC_DC_myeloid_remodeling_score,829,0.0957433552324365,0.0058003779785705,0.0076769708539904,0.1158651563191076,0.0008309911672602,0.0010998412507856,0.0989654127423855,0.0907802120287722,True
CP10,CP22,CP10_integrated_myeloid_granulocytic_remodeling_score,CP22_integrated_humoral_B_cell_remodeling_score,832,0.2169101186711841,2.5709369941000446e-10,4.820506863937583e-10,0.3015129958813469,6.021857373848579e-19,2.2581965151932174e-18,0.2722177836806099,0.0352733345331227,True
CP10,CP23,CP10_integrated_myeloid_granulocytic_remodeling_score,CP23_integrated_monocyte_macrophage_like_myeloid_remodeling_score,832,0.3683891496059684,3.857179483918132e-28,4.3393269194078976e-27,0.4046738677046757,3.978100266347741e-34,4.4753627996412086e-33,0.4262347290823888,0.2744375653765503,True
CP10,CP24,CP10_integrated_myeloid_granulocytic_remodeling_score,CP24_integrated_remodeling_score,832,-0.0689875228069567,0.04666996199505,0.0538499561481346,-0.0395661156818191,0.2542896941702415,0.2724532437538302,-0.0575319400675775,-0.0835810080115925,True
CP10,CP25,CP10_integrated_myeloid_granulocytic_remodeling_score,CP25_integrated_CD4_regulatory_checkpoint_remodeling_score,832,0.1016725421076511,0.0033259605267624,0.0045354007183124,0.0911378272517082,0.008529940880072,0.01066242610009,0.1022172442051342,0.1142510149276714,True
CP10,CP26,CP10_integrated_myeloid_granulocytic_remodeling_score,CP26_integrated_NK_remodeling_score,832,0.3207019617066488,2.3484412646013814e-21,1.0567985690706215e-20,0.397951746138381,5.8338272743660516e-33,5.250444546929447e-32,0.4086989135991491,0.1379946645216385,True
CP10,CP28,CP10_integrated_myeloid_granulocytic_remodeling_score,CP28_integrated_TNK_interface_remodeling_score,832,0.0499578615117249,0.1499416383252712,0.1645700908448099,0.0809374066991993,0.0195479412842514,0.0231488778366136,0.0604816598522717,0.0317805576813062,True
